name,city,stalp,zip,repdte,number_of_employees,asset,liabilities,deposits,common_stock,derivatives,total_securities,asset_backed_securities,mortgage_backed_securities,1_4_family_residential_loans,home_equity_loans,adjustable_rate_loans_secured_by_1-4_family_residential,total_loans,individual_loans,micro_amount,micro_number,small_business_amount,small_business_number,agg_amount,agg_number,other_real_estate_owned,real_estate_acquired,other_real_estate_owned_1-4_family,other_real_estate_owned_multi-family_residential,other_real_estate_owned_commercial_real_estate,other_real_estate_owned_construction_development,other_real_estate_owned_farmland,foreclosed_properties_from_GNMA_loans,total_deposits,net_interest_margin,noninterest_income_to_average_assets,noninterest_expense_to_average_assets,loan_and_lease_loss_provision_to_assets,net_operating_income_to_assets,roa,roe,retained_earnings_to_average_equity,net_charge_offs_to_loans,net_loans_and_leases_to_total_assets,net_loans_and_leases_to_deposits,net_loans_and_leases_to_core_deposits,total_domestic_deposits_to_total_assets,average_total_assets,average_earning_assets,average_equity,average_total_loans,number_domestic_offices,number_of_offices_in_insured_other_areas,cbsa_metro
1880 Bank,Cambridge,MD,21613,6/30/16,49,305914,262136,255564,13242,0,41360,0,29477,94680,10003,1390,227304,3049,3904,162,53665,218,4654,36,1145,1145,677,0,261,207,0,0,255564,4.13766668,0.536716174,2.907105863,0,3.791598746,3.88766966,30.38874565,30.38874565,2.66E-02,73.82565035,88.37042776,94.06401633,83.54112594,312269.33,281753,39949,225730,6,0,
1st Advantage Bank,Saint Peters,MO,63376,6/30/16,18,93900,86189,78749,534,0,4357,0,4357,9610,1139,350,75834,158,1349,43,29047,83,440,1,5871,5871,2360,854,1089,1568,0,0,78749,3.881306533,0.561427435,3.523127628,9.55E-02,0.40004546,0.40004546,4.738615543,4.738615543,0.366692131,80.09691161,95.50724454,102.8962706,83.86474973,87990,78375.67,7428.33,71995,1,0,41180
1st Bank,Broadus,MT,59317,6/30/16,8,50119,44457,44340,657,0,0,0,0,479,0,479,26595,918,4777,93,0,0,15242,291,0,0,0,0,0,0,0,0,44340,3.071412238,0.724164974,2.062891575,0,1.503131622,1.503131622,13.96955437,11.64129531,0,51.08242383,57.74018945,57.74018945,88.46944273,51093.33,47274.67,5497.67,24843.33,1,0,
1st Bank & Trust,Broken Bow,OK,74728,6/30/16,41,136544,124085,123788,500,0,39058,0,9904,25452,187,23949,81316,21927,7525,303,13922,93,7593,285,226,226,226,0,0,0,0,0,123788,4.248832223,0.790644026,2.28342715,8.26E-02,2.268676328,2.268676328,25.58855336,13.11039015,0.10363845,58.80375557,64.8633147,65.64283262,90.65795641,135585.67,122669,12021,81051,4,0,
1st Bank of Sea Isle City,Sea Isle City,NJ,8243,6/30/16,40,237611,213322,208577,100,0,12896,0,0,128088,18439,17933,173339,637,1424,31,7042,35,0,0,1103,1103,0,0,0,1103,0,0,208577,3.651893453,0.24283612,2.808489825,0.33636664,0.316630842,0.316630842,3.063724218,3.063724218,0,72.07831287,82.11164222,86.13776732,87.78086873,233079,213314,24088.33,170602.33,3,0,36140
1st Bank Yuma,Yuma,AZ,85364,6/30/16,64,293569,263184,261556,5165,0,26104,0,11518,13200,4240,0,198034,1621,3971,146,69809,238,4048,28,167,167,0,0,167,0,0,0,261556,4.513329875,0.663146529,3.353868865,8.47E-02,0.904951363,0.94422461,9.901991026,9.901991026,-2.96E-02,66.77373973,74.94647418,79.00332494,89.09523826,283195.33,259453.67,27004.67,202928.67,5,0,49740
1st Cameron State Bank,Cameron,MO,64429,6/30/16,14,58877,53988,45755,500,0,11912,0,0,19670,298,13725,28006,1315,533,16,2270,14,3785,48,0,0,0,0,0,0,0,0,45755,2.65594452,0.22291416,2.526360484,-3.54E-03,0.1592244,0.1592244,1.848933884,1.766759045,0,47.11856922,60.63162496,65.66620115,77.71285901,56524,54218,4867.67,28288.67,2,0,28140
1st Capital Bank,Monterey,CA,93940,6/30/16,75,546044,499778,498106,40914,0,89178,0,85743,121705,8805,111432,384359,189,5303,135,59651,240,521,11,0,0,0,0,0,0,0,0,498106,3.16514952,6.06E-02,2.23296886,1.49E-02,0.515351968,0.517730629,6.13719517,6.13719517,-1.37E-02,69.29331702,75.9621446,76.7120066,91.220854,538117.67,520165,45395.33,380297.67,5,0,41500
1st Century Bank   National Association,Los Angeles,CA,90067,6/30/16,79,763205,696887,638883,52569,4012,70688,0,35209,196493,41857,102533,642569,10914,2079,48,78522,199,0,0,0,0,0,0,0,0,0,0,638883,3.831366156,0.107134514,3.445757446,0.107403022,0.14821617,0.14821617,1.688417532,1.688417532,3.21E-02,82.97993331,99.12722674,104.1686747,83.71053649,744858,719847.67,65386.67,616728,1,0,31080
1st Colonial Community Bank,Collingswood,NJ,8108,6/30/16,54,470144,437554,423963,1025,0,122349,0,83164,196817,37218,29867,334924,3462,7221,215,55996,287,37,1,353,353,132,0,221,0,0,0,423963,3.172264559,0.793015381,2.41157794,0.232369984,0.788790472,0.788790472,11.94638014,11.94638014,0.179787065,70.24890246,77.90090173,86.16896653,90.17726484,473383,459734.67,31256.33,320379,3,0,37980
1st Community Bank,Sherrard,IL,61281,6/30/16,18,64962,58549,58339,200,0,10301,0,17,12945,0,0,44717,1561,1317,75,5044,30,14147,245,0,0,0,0,0,0,0,0,58339,2.924387475,0.131183861,2.434189429,8.75E-02,0.296417223,0.49266828,5.340496129,1.390425028,3.97E-02,68.21218559,75.95604998,90.97292082,89.80480897,68606,63124.33,6329,45325.67,2,0,19340
1st Constitution Bank,Cranbury,NJ,8512,6/30/16,175,1068736,951524,791569,6061,0,233962,1427,113027,82424,25461,27803,764800,26693,4421,134,122123,468,0,0,166,166,0,0,166,0,0,0,791569,3.729751595,0.629399295,2.784468913,-6.03E-02,0.938472129,0.938472129,8.167286311,7.801769643,-6.30E-02,70.86109198,95.67302408,99.17160352,74.06590589,995234.67,928962.67,114358.67,704254.67,19,0,35620
